compound_id,base_rdkit_smiles,avg_pic50,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
"InChI=1S/C22H23N3O3/c1-13-21(15(3)28-24-13)17-7-10-19-20(11-17)25(14(2)22(26)23-19)12-16-5-8-18(27-4)9-6-16/h5-11,14H,12H2,1-4H3,(H,23,26)",COc1ccc(CN2c3cc(-c4c(C)noc4C)ccc3NC(=O)C2C)cc1,6.795880017344075,13.671701615984627,-4.097434216742253,13.671701615984627,0.36990351001511756,0.7335911709774925,377.4439999999997,354.2600000000001,377.17394159600065,144,0,0.2463576598647554,-0.49676820001256566,0.49676820001256566,0.2463576598647554,1.3928571428571428,2.2857142857142856,3.0357142857142856,2.293820155446026,1881.439169047196,39.51362518897291,36.566385657891466,13.566385657891464,22.75650149226038,18.787925148762618,7.340711553262657,5.201481298698229,5.201481298698229,3.50655946699211,3.50655946699211,2.2730180203410733,2.2730180203410733,-3.2799999999999994,18020319307.078346,5.4065390739284895,7.034653963923301,3.108535812130166,196.01683004912476,19.46968097491225,17.52765172050799,1.4118420783282006,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,23.28391938011533,55.852254165934205,24.397138181544918,41.92651423331105,45.62302538891828,17.28195227871863,0.0,5.156663257125445,0.0,33.07042850455262,17.247675543021444,59.31455785906296,0.0,16.876414816677897,14.946586037938904,11.374772549367124,5.749511833283905,0.0,24.119687913709186,11.291396868387768,13.703784234591359,54.02620725846047,46.82002589061641,1.4118420783282006,11.126902983393991,0.0,67.6,138.89111927118307,4.794537184071822,0.0,4.899909730850478,0.0,0.0,0.0,0.0,0.0,9.893526210925494,36.09162525104639,197.98998726055655,0.0,13.30179810596951,2.847735962819108,-7.602944551928571,-4.590757308995842,-13.655219337863555,0.0,-14.773290958626028,-3.3506425052645348,0.2727272727272727,28,1,6,0,1,1,2,1,3,5,1,6,8,0,0,0,4,4.3142400000000025,108.68170000000003,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"InChI=1S/C20H17N5O3/c1-10-16(11(2)28-24-10)12-6-7-14-17-18(12)27-9-15(13-5-3-4-8-22-13)25(17)20(23-14)19(21)26/h3-8,15H,9H2,1-2H3,(H2,21,26)/t15-/m1/s1",Cc1noc(C)c1-c1ccc2nc(C(N)=O)n3c2c1OC[C@@H]3c1ccccn1,7.0,13.080998320662822,-3.592303713151929,13.080998320662822,0.3481821617535903,0.5896381113391351,375.38799999999986,358.2520000000002,375.1331394040005,140,0,0.28427970111896633,-0.48806288434294653,0.48806288434294653,0.28427970111896633,1.4642857142857142,2.4285714285714284,3.2857142857142856,2.076953157770389,1897.5380349435488,33.927838751346,30.46081284889138,13.460812848891381,20.47881105159287,15.905959137512511,7.511531946512593,5.462560365689144,5.462560365689144,3.9235154302755797,3.9235154302755797,2.813981609180927,2.813981609180927,-3.6799999999999997,3126887189.3084717,6.439332642096335,5.914491652439103,2.238619984049365,183.48546669600213,19.546774514291027,23.85382584775664,8.573195989940306,5.824404497999927,5.907179729351506,0.0,9.77851570501903,4.9839785209472085,0.0,0.0,11.19908196478874,37.87345906524454,19.960898039533074,34.804835204542165,37.43955757405492,16.94058116458403,0.0,19.691719946811215,5.719716975726273,19.721676702941004,6.558985242916289,59.35749665570252,0.0,16.876414816677897,10.456579929526322,0.0,5.749511833283905,0.0,32.15788491907902,0.0,13.703784234591359,54.3463159015461,40.908083686104575,2.8236841566564013,22.160304418626517,0.0,109.06,125.17487155854805,6.165295740242042,0.0,0.0,4.567099647791355,0.0,0.0,0.0,0.0,15.124620299019863,31.27426183381287,149.47557043092434,0.0,20.6201300180566,3.3499355324364513,-5.80447489652937,-4.771396021907386,-8.188816975534424,-0.9828217914040425,-10.031459629375505,0.0,0.2,28,2,8,0,1,1,1,3,4,7,1,8,5,0,0,0,5,2.7838400000000014,101.09290000000001,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"InChI=1S/C22H29N5O3/c1-14-10-19(24-25(4)22(14)28)21-23-18-7-6-17(26-8-9-30-13-15(26)2)11-20(18)27(21)16(3)12-29-5/h6-7,10-11,15-16H,8-9,12-13H2,1-5H3/t15-,16-/m0/s1",COC[C@H](C)n1c(-c2cc(C)c(=O)n(C)n2)nc2ccc(N3CCOC[C@@H]3C)cc21,7.187086643357144,13.179010115869383,-4.535647439531372,13.179010115869383,0.41402943121693214,0.6423854253395685,411.5059999999997,382.2740000000002,411.2270397880008,160,0,0.2689285424663485,-0.38254788154412783,0.38254788154412783,0.2689285424663485,1.5666666666666667,2.533333333333333,3.3333333333333335,2.518130287190798,2245.7337054868854,46.41133089340096,43.46081284889138,14.460812848891381,25.79400040981741,22.18029550140943,7.680295501409428,5.411941101613069,5.411941101613069,3.6496757493496355,3.6496757493496355,2.4274291933784746,2.4274291933784746,-2.7099999999999995,269160483844.8247,5.36564341304071,8.197541112472548,3.6100815077097197,216.32778560170624,18.94073528624193,5.693927994848461,5.824404497999927,0.0,5.559266895052007,0.0,4.794537184071822,9.665781456092393,5.098681808301038,0.0,0.0,44.725351182540216,54.228471952253656,60.03114508722483,49.22572403653651,16.720787709916088,0.0,19.331562912184786,6.975826900282246,32.59146128858632,38.111677602797876,40.086930401474,0.0,11.518332492848387,10.459176625902485,5.687386274683562,0.0,0.0,58.561223252481824,16.449552807882345,6.851892117295679,65.03712632357446,28.964212014725,0.0,22.551733928080907,0.0,74.41,150.45938179476966,7.536054296412263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.556386236848343,37.010481016595946,247.18281189888168,0.0,16.329797193358523,3.425819539382174,-9.903450906846384,-1.6390765017426727,-15.43619641972186,0.0,-32.912851290754205,-3.963520179223875,0.5,30,0,8,0,1,1,1,2,3,8,0,8,10,0,1,1,4,2.5379200000000006,117.15600000000003,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"InChI=1S/C30H35N5O3/c1-17-9-7-8-10-22(17)26(20-11-13-37-14-12-20)35-23-15-21(24-18(2)33-38-19(24)3)16-31-25(23)27-28(35)29(30(4,5)36)32-34(27)6/h7-10,15-16,20,26,36H,11-14H2,1-6H3",Cc1ccccc1C(C1CCOCC1)n1c2cc(-c3c(C)noc3C)cnc2c2c1c(C(C)(C)O)nn2C,9.00436480540245,10.771644305870497,-5.170348915028973,10.771644305870497,0.3588338398631059,0.3219469563590037,513.6419999999997,478.3620000000003,513.273989980001,198,0,0.21140464525616778,-0.3839820754004104,0.3839820754004104,0.21140464525616778,1.263157894736842,2.1578947368421053,2.9210526315789473,2.26720791314697,2998.171216605097,56.71229580172218,53.46081284889138,18.460812848891376,32.28541758638433,27.619780236976453,10.21153194651259,7.660138744262567,7.660138744262567,5.393539712658272,5.393539712658272,3.9112821695232576,3.9112821695232576,-3.4899999999999993,265173157779961.56,6.980148917814071,9.06378028013358,3.8545764627926107,271.02710057073534,18.935865729671963,28.088627659939114,0.0,1.4311996572326342,0.0,0.0,9.665781456092393,0.0,5.098681808301038,0.0,29.326338087778623,70.06858976555752,68.92104237223869,37.82356601630306,60.97455699166815,22.066802870465047,1.4311996572326342,24.48822616931023,12.869784585645323,58.62425366847048,13.117970485832577,64.65999514109659,0.0,11.126902983393991,0.0,0.0,0.0,0.0,44.14620450348265,17.313740665065982,26.449634037250117,107.34832380735247,40.90808368610458,0.0,33.193705853859036,0.0,91.13,187.03280938269535,10.96606844936176,0.0,4.681802935145185,0.0,0.0,0.0,0.0,0.0,25.08499473128095,41.59401705463171,314.19415176418846,0.0,3.8973835637650103,11.387426657808392,-21.4837031169855,-6.642878332385906,-13.73015477992081,-11.244870295365892,-33.29402212777043,0.0,0.43333333333333335,38,1,8,0,1,1,1,4,5,8,1,8,12,0,1,1,6,5.746660000000007,147.08179999999984,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"InChI=1S/C19H19N5O2/c1-12-9-17-16(23(12)11-14-7-5-4-6-8-14)10-15(20-19(25)26-3)18-22-21-13(2)24(17)18/h4-10H,11H2,1-3H3,(H,20,25)",COC(=O)Nc1cc2c(cc(C)n2Cc2ccccc2)n2c(C)nnc12,7.0,12.613078538454378,-3.5320355017006806,12.613078538454378,0.11416772959183663,0.6139971654291781,349.39399999999966,330.242,349.1538748480006,132,0,0.4109561650203438,-0.4526322161523474,0.4526322161523474,0.4109561650203438,1.3076923076923077,2.1923076923076925,2.9615384615384617,2.3459895181929804,1855.2265897909078,34.51362518897291,31.55256455842752,12.552564558427518,20.262484556404083,16.245654008695546,6.7984404131955865,4.754037569284143,4.754037569284143,3.257591008267791,3.257591008267791,2.261028293096786,2.261028293096786,-3.3499999999999996,1761129169.5143163,5.325263245674644,6.180150001087812,2.574630015765651,176.5173399109844,9.303962601591405,5.824404497999927,7.059019299095929,0.0,0.0,6.093240070938415,9.710507959550169,4.794537184071822,0.0,10.197363616602075,30.212093538316473,31.352073141614945,20.415339016185722,40.20784284284133,35.616896227264036,28.46120500162223,0.0,19.16515787065522,0.0,20.200643918907303,12.347765812170964,59.37871493818845,0.0,0.0,5.309813353288376,10.481923458755384,0.0,0.0,32.29635040047623,11.233722638115994,13.703784234591359,41.75543799560936,42.29693095364306,1.4118420783282006,16.68057865600025,0.0,73.45,115.07851631760059,4.794537184071822,0.0,9.87691300107973,4.400694606261793,0.0,0.0,0.0,0.0,14.934226570402124,26.08549608939216,158.45505928716693,0.0,12.613078538454378,6.730502232630886,-6.172663652952253,-1.0069899636915782,-7.5311672650594295,-1.9610545079870032,-10.208101605994148,-3.41866306256777,0.21052631578947367,26,1,7,0,0,0,1,3,4,6,1,7,6,0,0,0,4,3.527440000000002,99.52870000000004,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"InChI=1S/C26H25N3O4S/c1-16-6-7-17(2)21(12-16)28-26(31)27-19-5-3-4-18(13-19)20-15-34-25-22(30)14-23(33-24(20)25)29-8-10-32-11-9-29/h3-7,12-15H,8-11H2,1-2H3,(H2,27,28,31)",Cc1ccc(C)c(NC(=O)Nc2cccc(-c3csc4c(=O)cc(N5CCOCC5)oc34)c2)c1,6.126098402135539,13.761706840938437,-3.7682907309474336,13.761706840938437,0.19849221038434517,0.40031396900346006,475.5699999999998,450.3700000000003,475.15657728000065,174,0,0.3231881452243225,-0.4387236449687195,0.4387236449687195,0.3231881452243225,1.1764705882352942,2.0588235294117645,2.8823529411764706,1.7962017001245505,2485.039682781748,45.40037653492104,41.38288223881919,17.19937881974692,26.50035398088639,21.342667937105222,9.764737327033032,6.16730900926001,6.983805590187736,4.003324003088286,4.8844251780667145,2.6005070258139913,3.3795461281764516,-3.619999999999999,808327089242.5482,7.4372257778565345,9.323097957704851,4.55010151193873,235.75772304071356,24.673550328280623,4.699919916469101,14.290886500159653,5.428790391900541,0.0,6.031114512338072,4.794537184071822,4.794537184071822,0.0,11.336785877934737,24.16967483065318,48.52139483267223,49.55502786404824,36.42086594072632,48.29968202349671,44.90979519961229,0.0,0.0,0.0,13.703784234591359,41.63122629189169,75.04569463034031,0.0,11.126902983393991,20.94832682932777,22.053491935299956,0.0,11.336785877934737,32.142804366802544,4.736862953800049,13.703784234591359,42.65434977530907,62.907152192099126,2.8236841566564013,21.409843041505333,0.0,83.81,165.38617054697264,9.589074368143644,0.0,16.236695608785215,0.0,0.0,0.0,0.0,0.0,4.736862953800049,38.768281885624816,214.54902047004148,0.19849221038434517,26.9624725022234,-1.8342459615867817,-9.556775855302853,-1.4755715307009154,-12.354408394561364,0.0,-21.8223167738307,0.0,0.23076923076923078,34,2,7,0,1,1,2,2,4,6,2,8,6,0,1,1,5,5.618940000000005,137.38639999999992,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"InChI=1S/C27H31N7O2/c1-17-22(15-32(3)31-17)23-13-19-5-4-6-20(21(19)14-29-23)25-24-16-33(27(35)28-2)9-10-34(24)26(30-25)18-7-11-36-12-8-18/h4-6,13-15,18H,7-12,16H2,1-3H3,(H,28,35)",CNC(=O)N1CCn2c(C3CCOCC3)nc(-c3cccc4cc(-c5cn(C)nc5C)ncc34)c2C1,4.91048345577518,13.808885248320657,-4.448248485397364,13.808885248320657,0.04686510737680072,0.4760367476344231,485.5919999999997,454.3440000000003,485.25392323200094,186,0,0.3170536866463559,-0.38140216015994705,0.38140216015994705,0.3170536866463559,1.3333333333333333,2.25,3.0833333333333335,1.9125092834770125,2738.25101129985,51.87543250853871,48.44699174942743,17.446991749427433,29.668133087578575,25.11368799744544,9.666474401945479,6.9088453755576875,6.9088453755576875,4.859417663795528,4.859417663795528,3.340544659474072,3.340544659474072,-3.7199999999999993,22580836824855.49,6.774542785161483,9.054621662729101,3.834506246264401,253.25746577632705,19.51368568573026,5.824404497999927,1.4118420783282006,0.0,0.0,6.031114512338072,9.665781456092393,9.77851570501903,5.098681808301038,0.0,18.127256122989884,31.02638484208253,94.00683874626336,51.20470856243335,52.06599890130671,16.803562941267664,0.0,34.52526451727085,6.975826900282246,38.48541897394941,26.59065707043077,53.72772573997954,0.0,22.514758973090913,5.309813353288376,4.794537184071822,0.0,0.0,61.837222746751316,24.706409222714186,6.851892117295679,76.97482466082532,36.5154652522827,1.4118420783282006,33.287207402020506,0.0,90.1,179.87477333093076,8.906812852582483,0.0,4.681802935145185,0.0,0.0,0.0,0.0,0.0,19.803501803995502,38.42232309492415,267.09002610055586,0.0,20.709922568677218,0.33389727336540864,-7.909484814465856,-6.433031808991929,-7.690458497419991,-11.268908585855788,-31.915295569198264,0.0,0.4074074074074074,36,1,9,0,2,2,1,3,4,7,1,9,6,0,1,1,6,3.856220000000002,137.5626999999999,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"InChI=1S/C29H36N6O2S2/c1-29(2,3)39(36,37)33-22-8-6-7-20(17-22)25-19-38-26-18-30-28(32-27(25)26)31-21-9-11-24(12-10-21)35-15-13-23(14-16-35)34(4)5/h6-12,17-19,23,33H,13-16H2,1-5H3,(H,30,31,32)",CN(C)C1CCN(c2ccc(Nc3ncc4scc(-c5cccc(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2)CC1,6.434152181326483,14.11983137600387,-6.729330141092549,14.11983137600387,0.16856790269589395,0.2773096895016156,564.7810000000017,528.4930000000003,564.2341163920009,206,0,0.23716839624481922,-0.37141476243387217,0.37141476243387217,0.23716839624481922,1.1794871794871795,1.9487179487179487,2.6666666666666665,1.7958260262465526,2995.313254729777,58.823026265731414,54.8162747348552,20.44926789671065,33.10974378062757,27.929595516613823,12.291728235342276,7.165462716307212,9.727038598422103,4.4663228713303385,6.458063248866342,2.700581799698647,3.907685918783629,-3.2099999999999995,389073907328960.5,7.541309098631764,10.748961949725878,6.0255273370111295,285.3906662710545,15.109632814989332,0.0,2.8236841566564013,15.97163043439408,0.0,0.0,4.715119613734132,18.385754026223353,0.0,11.336785877934737,12.08483741532659,89.07114369278707,79.89154191048209,34.84412385981989,57.847272050772865,54.58719577046486,0.0,14.867866772744893,0.0,44.066441076113,41.87021586706937,59.86835928178872,0.0,11.126902983393991,14.924842697872986,23.01049810503718,0.0,11.336785877934737,60.995951847837425,10.023291153407584,0.0,79.9073170643333,59.86835928178872,2.8236841566564013,21.343523617479356,0.0,90.46,199.77242547845734,8.417796984328938,0.0,16.646599231223114,0.0,0.0,0.0,0.0,0.0,9.967957041894417,49.42947506644391,322.14756584540874,0.25734099253424936,6.065411355695789,-1.0262287503586298,-7.521156668308003,-1.200170989502528,-16.676273909642195,-10.056365951752628,-30.760791782982384,-6.729330141092549,0.3793103448275862,39,2,8,0,1,1,2,2,4,8,2,10,9,0,1,1,5,6.172500000000005,163.79319999999962,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"InChI=1S/C25H25N5O4/c1-15-21(16(2)34-27-15)18-8-9-19-22-23(18)33-14-20(17-6-4-3-5-7-17)30(22)24(26-19)28-10-12-29(13-11-28)25(31)32/h3-9,20H,10-14H2,1-2H3,(H,31,32)/p-1",Cc1noc(C)c1-c1ccc2nc(N3CCN(C(=O)[O-])CC3)n3c2c1OCC3c1ccccc1,7.0,12.124811534693665,-4.235038265956828,12.124811534693665,0.017947845804989093,0.46540332752556857,458.4979999999999,434.3060000000003,458.18337782791065,174,0,0.20698994960730585,-0.5298341367256528,0.5298341367256528,0.20698994960730585,1.2058823529411764,2.0294117647058822,2.764705882352941,1.9503456157776657,2365.5023953193804,44.375432508538715,40.369061139355246,16.369061139355246,25.983681675711065,21.13647648499446,9.13647648499446,6.570528915949005,6.570528915949005,4.689802523193105,4.689802523193105,3.2846403295849376,3.2846403295849376,-4.01,694753757188.0311,7.242960289527612,7.791612709727448,3.108464197554279,229.41244665140096,28.96084193138688,23.929173450345406,5.749511833283905,5.948339280986494,0.0,0.0,4.567099647791355,4.9839785209472085,0.0,0.0,35.36875679544192,31.352073141614945,39.77544156598211,47.46562668357536,52.059227817771244,23.07498078715743,0.0,19.607651156714486,0.0,19.721676702941004,37.44633371103054,59.31455785906296,0.0,16.876414816677897,14.743300079491233,10.742876465058316,5.749511833283905,0.0,58.24731520783296,0.0,13.703784234591359,55.93372472185488,46.82002589061641,0.0,22.160304418626517,0.0,99.69000000000001,161.3338736077204,11.271823135082748,0.0,4.567099647791355,0.0,0.0,0.0,0.0,0.0,10.140641778072654,40.78740468268847,215.43425420651428,0.0,14.599765064502147,15.44676612581057,-6.966143864966223,-4.13748697855591,-12.553398359262616,-2.7650144726830375,-27.72540838802584,0.0,0.32,34,0,9,0,2,2,2,2,4,8,0,9,5,0,1,1,6,2.7552400000000015,123.96200000000002,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"InChI=1S/C26H32N8O/c1-17(35)33-11-12-34-23(16-33)25(28-26(34)18-7-9-30(2)10-8-18)19-5-6-22-21(13-19)24(29-32(22)4)20-14-27-31(3)15-20/h5-6,13-15,18H,7-12,16H2,1-4H3",CC(=O)N1CCn2c(C3CCN(C)CC3)nc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2C1,5.0,13.592005593431125,-4.627832355886944,13.592005593431125,0.0005682623508374007,0.45818473720833186,472.59699999999964,440.34100000000024,472.269907644001,182,0,0.21935952250188165,-0.3352406135531507,0.3352406135531507,0.21935952250188165,1.1428571428571428,2.057142857142857,2.8285714285714287,1.9369586324520054,2716.77684628067,52.09097545816253,48.985957054463526,16.98595705446353,29.505684505130546,25.405439706981575,9.405439706981575,6.8724511317831745,6.8724511317831745,4.775265267042285,4.775265267042285,3.289538581552372,3.289538581552372,-3.4599999999999995,18554505579211.688,6.26197824158366,8.33639734036676,3.7414121826654405,249.45333349175593,14.366919109492311,11.518332492848387,0.0,5.907179729351506,0.0,0.0,14.158143054362192,4.9839785209472085,10.197363616602075,0.0,6.042418707663295,44.80023348689948,91.16317506010323,44.65265572031634,48.6588109815189,16.810104661432565,0.0,38.911867117331965,13.951653800564491,38.48541897394941,26.46640595323008,41.991379037467794,0.0,22.514758973090913,0.0,0.0,0.0,0.0,71.28545279991356,31.739910353268208,0.0,80.87430589561295,30.473046544619407,0.0,33.41768390517198,0.0,77.01000000000002,174.58664050922758,10.277571408752703,0.0,9.36360587029037,0.0,0.0,0.0,0.0,0.0,15.181342137549283,38.38123957276617,272.29470682113083,0.0,15.680782036895067,6.226119012803682,-7.907970320392879,-9.227495850493241,-4.277503090193836,-11.493281190653097,-36.96202408576327,0.0,0.46153846153846156,35,0,9,0,2,2,1,3,4,8,0,9,7,0,1,1,6,3.0086000000000013,134.69999999999996,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
